year,temperature,sealevel,sigma_sealevel
1880,0.0643,-11.7381,24.2
1881,0.1143,-6.1381,24.2
1882,0.1143,-22.9381,23
1883,0.0443,-17.6381,22.8
1884,-0.0257,3.2619,22.2
1885,-0.0357,1.7619,21.9
1886,-0.0157,-0.6381,20.8
1887,-0.0657,-6.2381,20.8
1888,0.0343,-4.1381,20.8
1889,0.0843,-2.5381,20.8
1890,-0.1357,-0.5381,20.7
1891,-0.0657,-2.2381,20.7
1892,-0.1157,0.9619,20.7
1893,-0.1357,5.6619,20.3
1894,-0.0957,-4.0381,21.6
1895,-0.0357,7.7619,21.6
1896,0.0943,0.1619,21.2
1897,0.0743,5.3619,20.8
1898,-0.0757,14.7619,19.7
1899,0.0643,22.2619,19.4
1900,0.1143,16.8619,18.3
1901,0.0443,16.4619,17.6
1902,-0.0557,21.0619,17.3
1903,-0.1457,29.0619,17
1904,-0.2357,18.7619,16.9
1905,-0.1057,13.2619,15.4
1906,-0.0357,20.0619,14.7
1907,-0.1857,18.6619,14.9
1908,-0.2557,16.1619,14.5
1909,-0.2457,20.6619,14.6
1910,-0.2057,20.5619,14.6
1911,-0.2557,28.8619,14.2
1912,-0.1557,25.7619,14.2
1913,-0.1457,27.5619,14.1
1914,0.0343,33.8619,13.8
1915,0.1043,41.7619,13.6
1916,-0.1157,39.8619,13
1917,-0.1357,35.3619,12.8
1918,-0.0257,33.7619,12.7
1919,-0.0257,35.3619,12.7
1920,-0.0357,36.6619,13
1921,0.0343,38.7619,13.1
1922,-0.0457,37.8619,13.2
1923,-0.0357,39.0619,13
1924,-0.0757,31.7619,13.1
1925,0.0343,33.7619,13.6
1926,0.1143,40.2619,13.7
1927,0.0343,39.1619,12.9
1928,0.0043,35.2619,12.3
1929,-0.1157,36.6619,12.1
1930,0.0743,40.6619,12
1931,0.1043,40.2619,12.2
1932,0.0643,45.9619,11.9
1933,-0.0657,50.2619,11.8
1934,0.0743,44.8619,11.9
1935,0.0443,50.4619,11.9
1936,0.0643,46.5619,11.8
1937,0.1643,52.2619,11.8
1938,0.1543,54.8619,11.8
1939,0.1743,60.0619,12.2
1940,0.2843,54.7619,11.1
1941,0.3843,66.9619,10.8
1942,0.3343,66.9619,10.8
1943,0.3443,66.9619,10.8
1944,0.4743,60.5619,10.7
1945,0.3543,63.3619,10.7
1946,0.1843,70.8619,10.6
1947,0.1343,73.9619,9.6
1948,0.1343,78.7619,9.3
1949,0.1243,77.4619,8.4
1950,0.0243,79.6619,7.9
1951,0.1743,89.1619,7.8
1952,0.2143,86.5619,7.7
1953,0.2843,90.9619,7.5
1954,0.0743,88.0619,7.3
1955,0.0543,88.9619,7.1
1956,-0.0157,83.8619,7
1957,0.2343,97.2619,6.9
1958,0.2943,98.6619,6.6
1959,0.2443,98.9619,6.5
1960,0.2043,102.6619,6.6
1961,0.2643,108.8619,6.6
1962,0.2743,103.6619,6.6
1963,0.2943,102.0619,6.6
1964,0.0343,94.1619,6.7
1965,0.1143,105.3619,6.7
1966,0.1643,99.9619,6.6
1967,0.1743,101.3619,6.5
1968,0.1543,102.1619,6.7
1969,0.2843,108.9619,7
1970,0.2243,107.0619,7
1971,0.1043,112.2619,6.9
1972,0.2143,121.3619,6.9
1973,0.3543,115.3619,6.8
1974,0.1143,127.2619,6.8
1975,0.1843,125.6619,6.7
1976,0.1043,124.6619,6.8
1977,0.3843,122.9619,6.6
1978,0.2943,129.3619,6.7
1979,0.4143,124.4619,6.7
1980,0.4543,130.4619,6.5
1981,0.4843,142.8619,6.5
1982,0.3643,137.0619,6.3
1983,0.5243,145.4619,6.5
1984,0.3343,144.5619,6.3
1985,0.3243,134.2619,6.3
1986,0.4143,134.8619,6.3
1987,0.5543,135.4619,6.2
1988,0.5643,140.1619,6.3
1989,0.4843,144.6619,6.4
1990,0.6143,146.9619,6.5
1991,0.5943,149.4619,6.5
1992,0.4443,150.1619,6.6
1993,0.4743,148.3619,6.6
1994,0.5243,153.5619,6.6
1995,0.6443,156.4619,6.6
1996,0.5043,160.5619,6.6
1997,0.7043,167.5619,6.6
1998,0.8243,157.6619,6.8
1999,0.6343,166.1619,6.8
2000,0.6143,167.4619,6.8
2001,0.7343,172.9619,6.7
2002,0.7943,175.3619,6.8
2003,0.8043,184.5619,6.9
2004,0.7643,184.1619,6.9
2005,0.8443,184.2619,6.8
2006,0.8043,188.5619,6.8
2007,0.7943,190.4619,7.1
2008,0.7243,199.1619,6.8
2009,0.8243,204.9619,6.9
2010,0.8943,212.6619,7.1
2011,0.7643,214.2619,7.5
2012,0.8143,223.0619,8.3
2013,0.8543,214.6619,8.9